code,name,close,open,high,low,volume,amount,marcap,shares
091700,파트론,5840,6010,6020,5810,141101,831300665,292000000000,50000000
448900,한국피아이엠,47850,55400,56800,47400,78028,4046197600,290662767450,6074457
393890,더블유씨피,8540,8940,9690,8540,123930,1111975980,289020449760,33843144
187660,페니트리움바이오,5190,5080,6530,5010,2415144,13810443335,287869853070,55466253
215600,신라젠,2075,2230,2295,2050,491228,1059483893,287498645300,138553564
024850,HLB이노베이션,9020,8600,9630,8440,621256,5662126060,286416966880,31753544
332570,PS일렉트로닉스,6130,6210,6500,5830,2313488,14261367400,286341881190,46711563
125490,한라캐스트,7810,8460,8750,7720,384464,3116797380,285083369120,36502352
080580,오킨스전자,13500,14230,15170,13330,210730,3000784280,284727892500,21090955
121440,골프존홀딩스,6640,6650,6680,6640,464121,3092859285,284436471520,42836818
049070,인탑스,17230,18190,18550,17220,85045,1519472195,283685178610,16464607
035810,이지홀딩스,4380,4355,4485,4345,162097,715791540,282580890300,64516185
419530,SAMG엔터,27650,27950,29050,27000,60869,1688551975,282232868050,10207337
107640,한중엔시에스,30650,32200,33500,29850,111584,3468306500,277840594900,9064946
394280,오픈엣지테크놀로지,10530,11530,11810,10510,116827,1293587125,277428960900,26346530
424870,이뮨온시아,3010,3165,3295,2995,198775,623365282,274729529690,91272269
228760,지노믹트리,11000,11120,11610,10850,61976,695949010,273451222000,24859202
051500,CJ프레시웨이,22950,22950,23700,22550,11423,264341650,272452898700,11871586
036800,나이스정보통신,29750,30600,30600,29600,17092,513682925,270725000000,9100000
352480,씨앤씨인터내셔널,19820,20500,20800,19720,18175,365902580,270144637820,13629901
309710,아이티켐,21000,0,0,0,0,0,268443021000,12783001
098070,한텍,24100,24300,26300,24000,46553,1164459525,268019498100,11121141
023410,유진기업,3455,3790,3810,3440,1189145,4303260865,267109031665,77310863
417840,저스템,11650,13000,13570,11520,1284357,16208942990,266428288650,22869381
182400,엔케이젠바이오텍코리아,3670,0,0,0,0,0,265496721770,72342431
043150,바텍,17820,18000,18200,17460,59563,1060229610,264702841920,14854256
036200,유니셈,8620,8950,9270,8590,219554,1950019215,264325602260,30664223
054950,제이브이엠,21850,22250,22400,21750,12196,269182700,264164140200,12089892
455900,엔젤로보틱스,17070,18240,18780,16900,36598,645243210,262427027670,15373581
117730,티로보틱스,11560,12250,12700,11320,87253,1034173455,260770977080,22558043
439090,마녀공장,15860,16190,16750,15510,399558,6451295970,259997103600,16393260
194700,노바렉스,14190,14320,15010,13920,196192,2829338360,259036293120,18254848
441270,파인엠텍,6140,6560,6720,5910,137978,864043420,258150448580,42044047
069540,빛과전자,2290,2370,2870,2240,45661218,116196939973,258064444130,112691897
267980,매일유업,33650,34450,34850,33100,10934,372320150,257881418700,7663638
151860,KG에코솔루션,5410,5420,5910,5400,242448,1368231925,257532240820,47603002
092460,한라IMS,15010,15160,15680,14510,38042,571521525,256816296800,17109680
290690,소룩스,4880,5300,5920,4695,2789212,14654074523,256686096800,52599610
035600,KG이니시스,9310,9600,9690,9260,74762,705107505,256531780540,27554434
121800,비덴트,3320,0,0,0,0,0,256309348520,77201611
064820,케이프,8300,8750,8980,8290,50265,432957800,256139784500,30860215
065680,우주일렉트로,27600,29100,29850,26600,167399,4923555950,255036999600,9240471
092190,서울바이오시스,5560,6630,7050,5540,369502,2243205810,255028209480,45868383
468530,프로티나,23000,25600,26100,22850,87957,2143743100,253809784000,11035208
377460,큐에이드,4080,0,0,0,0,0,253187202960,62055687
950170,JTC,4865,4900,4915,4775,59407,289678855,251745983020,51746348
138080,오이솔루션,20300,22700,23500,20300,160875,3536714975,251268487400,12377758
0011T0,채비,5340,5910,6130,5340,269600,1521288525,250710815940,46949591
484590,삼양컴텍,6060,6320,6600,6030,232387,1458841700,249735327000,41210450
481070,에이유브랜즈,17160,16490,17160,15890,10233,171029185,245907090000,14330250
215000,골프존,39000,40450,40750,38900,17056,678646175,244741185000,6275415
206640,바디텍메드,11110,11540,11690,11050,52024,589288840,243397002310,21907921
200130,콜마비앤에이치,8230,8520,8740,8230,53277,451785680,242090042340,29415558
234340,헥토파이낸셜,17300,18200,19240,17290,130797,2359137295,241692348800,13970656
052710,아모텍,16540,18140,18860,16540,199106,3567525325,241691510840,14612546
378340,필에너지,11160,11580,12170,11000,68891,796686140,241545723120,21643882
314930,바이오다인,8110,8490,8900,8110,40279,337227170,241386875330,29764103
051360,토비스,16090,0,0,0,0,0,240028093870,14917843
099430,바이오플러스,3890,4010,4110,3795,218550,858777950,239782408580,61640722
094360,칩스앤미디어,11130,12070,12270,11120,137519,1584922890,237684199620,21355274
064850,에프앤가이드,20800,24400,24950,20200,58756,1301521725,237334905600,11410332
389260,대명에너지,13200,13260,14260,13140,295758,4063250875,236495490000,17916325
011560,세보엠이씨,23300,24900,25300,22700,39501,947414650,234977517600,10084872
272110,케이엔제이,29150,28600,31650,28500,133996,4052744700,233940264250,8025395
061090,세나테크놀로지,42750,47000,47400,41750,73274,3243764675,233737762500,5467550
085910,네오티스,16910,18010,19760,16660,342833,6157447075,233270372380,13794818
061970,LB세미콘,4005,4255,4420,3985,342837,1428521250,232622439030,58083006
217730,강스템바이오텍,2470,2660,2700,2420,511471,1296448584,232313748030,94054149
018000,유니슨,894,929,961,885,1922638,1763526189,231991465896,259498284
043370,피에이치에이,11040,11260,11500,10970,12540,140411700,231840000000,21000000
452430,사피엔반도체,28050,30900,31700,27750,37945,1112020275,231564559050,8255421
450950,아스테라시스,6150,6430,6520,6030,35729,220128770,231409690800,37627592
456010,아이씨티케이,15880,16460,18630,15870,585880,10047602655,230297318000,14502350
304360,에스바이오메딕스,18500,20200,20700,18410,60598,1173389860,229124868000,12385128
445090,에이직랜드,20900,24550,24700,20600,212477,4731408650,228346252200,10925658
230240,에치에프알,17150,18000,18890,16730,210762,3694454285,228249350000,13309000
180400,DXVX,2305,2500,2535,2290,91942,219495145,226879840760,98429432
200470,에이팩트,5320,5760,6000,5320,518722,2926216480,225366334760,42362093
053030,바이넥스,6890,7150,7360,6820,118790,826853280,225194055320,32684188
389500,에스비비테크,33700,35900,37850,33150,56287,1964227500,224559006400,6663472
254490,미래반도체,15520,16890,17760,15340,132707,2157587850,224077760000,14438000
023760,한국캐피탈,709,719,727,699,148510,105546413,223767189384,315609576
060720,KH바텍,9380,10200,10440,9360,147556,1445109095,222094405960,23677442
065710,서호전기,43100,43450,43950,41700,15353,651756225,221965000000,5150000
144510,지씨셀,14000,14090,14500,13160,54466,742697340,221204816000,15800344
095500,미래나노텍,7100,7680,7840,7050,323755,2402380445,220170992900,31009999
086390,유니테스트,10410,10820,11340,10220,143699,1532126855,220006251660,21134126
114190,강원에너지,8420,8990,9150,8400,130148,1141952225,219955979960,26123038
089980,상아프론테크,13750,14750,15000,13700,34939,497625130,219849258750,15989037
018310,삼목에스폼,14900,15080,15260,14610,7825,117543530,219030000000,14700000
036030,케이티알파,4460,4490,4535,4375,18005,80500315,218625368860,49019141
472850,폰드그룹,3795,3840,3880,3745,77739,295060510,218484419340,57571652
462350,이노스페이스,6410,7030,7260,6410,295848,1991292545,215699871660,33650526
013120,동원개발,2370,2630,2660,2370,989132,2451330156,215215197000,90808100
425040,티이엠씨,9750,10850,11360,9570,578214,5981570075,213748255500,21922898
194480,데브시스터즈,17600,18010,18790,17230,88508,1583691370,213473040000,12129150
488900,비츠로넥스텍,7360,8490,8490,7360,56825,444061300,213266620480,28976443
241520,DSC인베스트먼트,7970,8700,8800,7800,221900,1804534140,212002000000,26600000
